word,spell,type,meaning
ฟ่อนข้าว,faawnF khaaoF,noun,[ฟ่อนข้าว] a sheaf of rice; bundle of rice from the field
ฟ้อน ,faawnH,,"to dance, to move about or gesture gracefully"
noun,[การฟ้อน] dancing,,
ฟ้อนเล็บ ,faawnH lepH,,Fingernail dance (Northern Thai classical dance)
ฟอนต์,faawnM,"noun, loanword, English",[Thai transcription of the foreign loanword] font
ฟอร์ด,faawdF,"proper noun, person",Ford
ฟอร์แทรน,faawM thraaenM,"noun, loanword, English",[Thai transcription of foreign loanword] Fortran
ฟอร์บส์,faawpF,proper noun,[Thai transcription of foreign name] Forbes
ฟอร์ม ,faawmM,"noun, loanword, English",[Thai transcription of the foreign loanword] form; a paper form
"adjective, loanword, English",[Thai transcription of the foreign loanword] (uni)form,,
ฟอร์มร้อน,faawmM raawnH,noun,"on hot form, playing well"
ฟอร์มัลดีไฮด์,faawM manM deeM haiM,"noun, loanword, English",[Thai transcription of the foreign loanword] formaldehyde; CH2O
ฟอร์มิก,faawM mikH,"adjective, loanword, English",[Thai transcription of the foreign loanword] formic
ฟอร์เรสท์,faawM raehtF,"proper noun, loanword, English",Forrest [an English given name]
ฟอรั่ม,faawM ramF,"noun, loanword, English",[Thai transcription of the foreign loanword] forum
ฟอเรสต์ กัมพ์,faawM raehtF gamM,proper noun,[Thai transcription of foreign name] Forrest Gump
ฟอลโล่,faawnM lo:hF,"verb, loanword, English","[Thai transcription of foreign loanword] to ""follow"" in a Facebook sense"
ฟอสซิล,faawtF sinM,"noun, loanword, English",[Thai transcription of the foreign loanword] fossil
ฟอสฟอรัส,faawtF faawM ratH,"noun, loanword, English","[chemistry] Phosphorus, P, atomic number 15"
ฟอสเฟต,faawtF faehtF,"noun, proper noun, formal, loanword, English","[Thai transcription of the foreign loanword] phosphate; [Chem.] 1. (loosely) a salt or ester of phosphoric acid; 2. a tertiary salt of orthophosphoric acid, as sodium phosphate"
"proper noun, formal, loanword, English",[agriculture] a fertilizing material containing compounds of phosphorus,,
"noun, proper noun, formal, loanword, English",a carbonated drink of water and fruit syrup containing a little phosphoric acid,,
ฟอสยีน,faawtF yeenM,noun,[Thai transcription of the foreign loanword] phosgene
ฟะฟัด,faH fatH,verb,to flap; to swing
ฟัก ,fakH,"noun, proper noun",gourd; squash Cucurbita
ฟัก ,fakH,"verb, transitive, intransitive, colloquial",to incubate; broad; hatch
ฟัก ,fakH,"noun, proper noun",the balsam apple
ฟัก ,fakH,"noun, proper noun, person, colloquial",Fak [a male nickname; a character from the Thai novel Khum Pipaaksaa (The Judgment) which won the รางวัลซีไรท์]
ฟักเขียว ,fakH khiaaoR,noun,"ash gourd, Benicasa hispida, Benicasa cerifera"
ฟักทอง  ,fakH thaawngM,"noun, adjective",[general] pumpkin
ฟัง ,fangM,"verb, transitive, intransitive",to listen; listen to
ฟัง ,fangM,verb,[ได้ฟัง] listened; did listen
ฟัง ,fangM,adjective,[does] sound (like...); sounds (like...); [seems to] sound (similar to...)
verb,[รับฟัง] to listen to; to hear,,
ฟังความข้างเดียว,fangM khwaamM khaangF diaaoM,"verb, phrase, formal, idiom",to listen to one side of the story
ฟังดู,fangM duuM,adjective,"""seems like..."" — to seem; to appear"
ฟังดูก็เข้าเค้าดี,fangM duuM gaawF khaoF khaaoH deeM,example sentence,"""When I listened, it sounded reasonable."""
ฟังดูก็เหมือนว่าน่าจะเป็นแนวทางที่ถูกต้อง,fangM duuM gaawF meuuanR waaF naaF jaL bpenM naaeoM thaangM theeF thuukL dtawngF,example sentence,"""When you hear this, it all sounds so right."""
ฟังดูมีเหตุผล,fangM duuM meeM haehtL phohnR,"verb, phrase",to sound reasonable; sound believable
ฟังดูเหมือนชีวิตสมบูรณ์แต่สุดท้ายก็เลิกรา,fangM duuM meuuanR cheeM witH sohmR buunM dtaaeL sootL thaaiH gaawF leerkF raaM,example sentence,"""It sounded like I had a perfect life but, in the end, we broke up."""
ฟังทัน,fangM thanM,adjective,[is] able to understand (spoken language)
ฟังเทศน์,fangM thaehtF,"verb, phrase",to listen to a sermon
ฟังนะ! ,fangM naH,"interjection, phrase, colloquial",Listen up!
ฟังผมพูดให้จบก่อนได้ไหมครับ,fangM phohmR phuutF haiF johpL gaawnL daiF maiH khrapH,example sentence,"""Pleasel listen to me and let me finish talking first."""
ฟังเพลง,fangM phlaehngM,verb,listen to music
ฟังไม่ขึ้น,fangM maiF kheunF,,to sound unreasonable; sound unbelievable
ฟังไม่ถูกใจหู,fangM maiF thuukL jaiM huuR,"adjective, phrase",[is] unpleasant to hear; contrary to what one expects to hear
ฟังไม่ทัน,fangM maiF thanM,"adjective, phrase",[is] unable to understand [one's rapid speech]
ฟังไม่เพราะหู,fangM maiF phrawH huuR,"adjective, phrase",[is] unpleasant to hear; contrary to what one expects to hear
ฟังไม่ออก,fangM maiF aawkL,verb,[is] unable to hear; can't hear; can't make out what he is saying
ฟังรู้เรื่อง,fangM ruuH reuuangF,verb,to comprehend; understand via listening
ฟังหูไว้หู ,fangM huuR waiH huuR,"example sentence, idiom","""Believe nothing of what you hear, and only half of what you see."" — ""To take something with a pinch of salt."""
ฟังหูไว้หู,fangM huuR waiH huuR,"verb, phrase",to listen skeptically; reserve judgement; take with a grain of salt
ฟังก์ชัน,fangM chanM,,[alternate spelling of ฟังก์ชั่น]
ฟังก์ชั่น,fangM chanF,"noun, loanword, English",[Thai transcription of the foreign loanword] function
ฟังก์ชั่นแบบออยเลอร์,fangM chanF baaepL aawyM luuhrM,noun,Eulerian function
ฟังก์ชั่นไฮเพอร์โบลิก,fangM chanF haiM phuuhrM bo:hM likH,noun,hyperbolic function
ฟัด,fatH,verb,to struggle; to fight; to wrestle
verb,to swing; to teeter; to sway,,
ฟัน ,fanM,noun,tooth
ฟัน ,fanM,noun,cog; notch; gear tooth
ฟัน ,fanM,verb,"to cut with downward blow, as with an axe or other sharp object"
ฟัน ,fanM,verb,to struggle against or contend with
ฟัน ,fanM,verb,[จะฟัน] will fix the situation
ฟัน ,fanM,verb,to work at doing something in order to get something accomplished or fix the situation
ฟัน ,fanM,"verb, colloquial, vulgar",to copulate; screw
ฟัน ,fanM,verb,to overcharge; scam; rip off
ฟันกราม,fanM graamM,noun,molar (tooth)
ฟันขึ้น,fanM kheunF,verb,[of a baby] to teethe
ฟันเขยิน,fanM khaL yeernR,noun,protruding teeth; buckteeth
ฟันคอ,fanM khaawM,verb,to behead; cut off a head with a sword
ฟันคุด,fanM khootH,noun,wisdom tooth; partially ingrown tooth
ฟันคุด คือ ฟันกรามใหญ่ที่ขึ้นไม่ได้หรือขึ้นได้เพียงบางส่วน,fanM khootH kheuuM fanM graamM yaiL theeF kheunF maiF daiF reuuR kheunF daiF phiiangM baangM suaanL,example sentence,"""An impacted tooth is a large molar which cannot erupt into the mouth or which erupts only partially."""
ฟันจักร,fanM jakL graL,noun,cog (in a machine)
ฟันฉีก,fanM cheekL,noun,front teeth; incisor
ฟันซ้อน,fanM saawnH,noun,a tooth growing in front or behind another tooth
ฟันซ้อนเก,fanM saawnH gaehM,noun,overbite
ฟันซ้ายป่ายขวา,fanM saaiH bpaaiL khwaaR,"verb, intransitive",to hit right and left
ฟันดาบ,fanM daapL,"noun, verb, intransitive",to fence (to fight with swords)
ฟันดาบ,fanM daapL,"verb, colloquial",[slang for] male-male anal intercourse
ฟันตัด,fanM dtatL,noun,front teeth; incisor
ฟันถาวร,fanM thaaR waawnM,noun,permanent teeth
ฟันที่หักคา,fanM theeF hakL khaaM,"noun, phrase, formal",[dentistry] a cracked tooth
ฟันแท้,fanM thaaeH,noun,permanent teeth
ฟันธง,fanM thohngM,verb,to decide for sure; decide absolutely
ฟันน้ำนม,fanM naamH nohmM,noun,baby tooth; baby teeth
ฟันบน,fanM bohnM,noun,upper teeth
ฟันปลอม,fanM bplaawmM,noun,false tooth; false teeth; denture
ฟันปลอมโครงโลหะ,fanM bplaawmM khro:hngM lo:hM haL,noun,partial denture
ฟันปลอมชั่วคราว,fanM bplaawmM chuaaF khraaoM,"noun, phrase",temporary denture (for one's teeth)
ฟันปลอมเต็มปาก,fanM bplaawmM dtemM bpaakL,"noun, phrase",full denture (in place of one's teeth)
ฟันปลา,fanM bplaaM,noun,serration; sawtooth pattern
ฟันผุ ,fanM phooL,noun,tooth decay; decayed tooth
ฟันฝ่า,fanM faaL,"event, verb",to struggle; fight against; overcome; surmount
ฟันฝ่ามายา,fanM faaL maaM yaaM,verb,to overcome illusions
ฟันฝ่าอุปสรรค,fanM faaL oopL bpaL sakL,"verb, phrase",to overcome obstacles
ฟันเฟือง,fanM feuuangM,noun,cog; small wheel
ฟันล่าง,fanM laangF,noun,lower teeth
ฟันหน้า,fanM naaF,noun,front teeth; incisor
ฟันหนู,fanM nuuR,noun,[name of the two short strokes placed above the vowel อิ to make it อื]
ฟันหลอ ,fanM laawR,noun,missing tooth
ฟันหลุด,fanM lootL,verb,to lose a tooth
ฟันห่าง,fanM haangL,verb,to have gaps between one's teeth
ฟันเหยิน,fanM yeernR,noun,protruding teeth; buckteeth
ฟันด์,fanM,"noun, loanword, English",[Thai transcription of the foreign loanword] fund
ฟั่นเฟือน,fanF feuuanM,adjective,disorganized; frantic; distraught
ฟา,faaM,"noun, loanword, Latin","[music] fa, the fourth note of the major diatonic scale"
ฟ้า ,faaH,noun,the sky; firmament; heaven
noun,[สีฟ้า] the color light blue; sky blue    ,,
"noun, proper noun, person, pronoun","[เจ้าฟ้า] prince or princess, the child of the king and queen",,
ฟ้าชาย ,faaH chaaiM,noun,crown prince
ฟ้าดิน,faaH dinM,"noun, formal",heaven and earth
ฟ้าประทานสวรรค์สร้าง,faaH bpraL thaanM saL wanR saangF,"noun, phrase",the best thing one could ever wish for; a gift from heaven
ฟ้าผ่า,faaH phaaL,"noun, verb, intransitive","a thunderbolt, a lightning strike or discharge"
ฟ้าผ่า,faaH phaaL,adverb,out of the blue; without explanation; suddenly
ฟ้าฝน,faaH fohnR,noun,weather
ฟ้าพลบแล้ว,faaH phlohpH laaeoH,example sentence,"""It's getting dark outside."""
ฟ้าร้อง ,faaH raawngH,verb,the action of thunder in the sky
ฟ้าแลบ  ,faaH laaepF,"noun, formal",lightning
ฟ้าแลบ,faaH laaepF,proper noun,"Phar Lap, the name of a famous Australian race horse that won the Melbourne cup in 1930 and died in America under suspicious circumstances"
ฟ้าแลบแปลบปลาบและส่งเสียงกระหึ่ม,faaH laaepF bplaaepL bplaapL laeH sohngL siiangR graL heumL,example sentence,"""The sky flashed with lightning and resounded with thunder."""
ฟ้าแลบมาจากทิศใต้ ตามมาด้วยเสียงฟ้าผ่าดังเปรี้ยง,faaH laaepF maaM jaakL thitH dtaiF dtaamM maaM duayF siiangR faaH phaaL dangM bpriiangF,example sentence,"""Lightning came from the South, followed by a loud thunderclap."""
ฟ้าสว่างเรืองไร,faaH saL waangL reuuangM raiM,phrase,the sky shines brilliantly
ฟ้าสาง,faaH saangR,noun,dawn; daybreak; sunrise
ฟ้าสีฟ้า ,faaH seeR faaH,noun,blue sky
ฟ้าใส,faaH saiR,example sentence,"""The sky is clear."""
ฟ้าหลังฝน ,faaH langR fohnR,"example sentence, idiom","""There'll be rainbow after rain"" — ""There'll be laughter after pain"""
ฟ้าหลัว,faaH luaaR,noun,dim weather; dusky
ฟาก ,faakF,noun,side; shore; bank
noun,bamboo floor,,
ฟากฟ้า,faakF faaH,noun,horizon
ฟากฟ้า,faakF faaH,noun,sky; heavens
ฟาง ,faangM,noun,straw; threshed grain stalks
adjective,(vision) [is] blurred,,
ฟางเส้นสุดท้าย ,faangM senF sootL thaaiH,"example sentence, idiom",the last straw; the straw that broke the camel's back
ฟ่าง ,faangF,noun,(grain) millet
ฟาด,faatF,"verb, transitive, colloquial",to slash; strike; whip; throw; flog; flip; slap
"verb, colloquial",[slang] to eat up or drink up,,
ฟาดเคราะห์,faatF khrawH,verb,to drive off bad luck; ward off a large loss by suffering a smaller loss
ฟาดงวงฟาดงา,faatF nguaangM faatF ngaaM,"verb, phrase",to lash out; become infuriated; fly into a rage
ฟาดฟัน,faatF fanM,verb,to fight; struggle; to fight tooth and nail
ฟาดหัวฟาดหาง,faatF huaaR faatF haangR,,to lash out; to become infuriated
ฟาติมา,faaM dtiL maaM,,Fatima [a given name]
ฟาติมาห์,faaM dtiL maaM,,[alternate spelling of ฟาติมา]
ฟาทอม,faaM thaawmM,,[alternate spelling of ฟาท่อม]
ฟาท่อม,faaM thaawmF,"noun, loanword, English",[Thai transcription of foreign loanword] fathom
ฟาย,faaiM,verb,to scoop up with the palms of the hands
ฟายมือ,faaiM meuuM,verb,to scoop up with the palms of the hands
ฟายมือ,faaiM meuuM,noun,an ancient formal measure equal 8 of which are equal to one ทะนาน; a 'handful'
ฟ่าย ,faaiF,noun,"opposing sides (argument, politics)"
ฟาร์ม ,faamM,"noun, loanword, English",[Thai transcription of the foreign loanword] farm
ฟาเรนไฮต์ ,faaM raehnM haiM,"loanword, English",[Thai transcription of the foreign loanword] Fahrenheit
ฟาเร็นไฮท์,faaM renM haiM,,[alternate spelling of ฟาเรนไฮต์ ]
ฟาโรห์,faaM ro:hM,noun,[Thai transcription of the foreign loanword] pharaoh
ฟาวล์,faaoM,"noun, loanword, English",[Thai transcription of the foreign loanword] foul
"loanword, English",foul [in football/soccer],,
ฟาสซิสต์,faatF sitH,"noun, loanword, English",[Thai transcription of the foreign loanword] fascist
ฟาสต์,faatF,"loanword, English",[Thai transcription of the foreign loanword] fast
ฟาสต์ฟู้ด ,faatF fuutH,noun,"[Thai transcription of the foreign loanword, ""fast food""] coupon food center in a mall or department store, where stalls offer a variety of Thai specialties"
ฟาสต์ฟูด,faatF fuutF,"noun, loanword, English","[Thai transcripion of the English word ""fast food""]"
ฟ้าใส,faaH saiR,proper noun,Fasi [a common Thai female nickname]
ฟาห์เรนไฮต์,faaM raehnM haiM,"noun, loanword, English",Fahrenheit
ฟิก,fikH,"noun, adjective, loanword, English",[general] fig
noun,[ต้นฟิก] fig tree,,
ฟิจิ ,fiH jiL,"proper noun, geographical",[หมู่เกาะฟิจิ] Fiji
ฟิด ,fitH,"interjection, onomatopoeia",[sound of a stream of flowing gas or liquid]
ฟิต ,fitH,"adjective, verb, loanword, English",[Thai transcription of the foreign loanword] fit; to become (physically) fit; to become healthy
"verb, loanword, English","[Thai transcription of the foreign loanword] fit; [of, for example, a car] to overhaul, adjust, or tune-up",,
ฟิตเนส,fitH naehtF,"noun, loanword, English",[Thai transcription of foreign word] fitness; physical exercise; fitness; training
ฟิน,finM,"adjective, loanword, English",[Thai transcription of the foreign loanword] fin(ished); [is] post-ejaculatory
"adjective, colloquial",[is] done; awesome; great,,
ฟินแลนด์ ,finM laaenM,"proper noun, geographical","[ประเทศฟินแลนด์] Finland, a country in Europe"
ฟินิกซ์ ,fiH nikH,"proper noun, geographical","Phoenix, the capital city of แอริโซนา (Arizona)"
ฟิล ,finM,"proper noun, person","Phil [an English given name, short for ฟิลลิป]"
ฟิลเตอร์,finM dtuuhrM,"noun, loanword, English",[Thai transcription for foreign loanword] filter
ฟิล์ม ,fimM,"noun, loanword, English",[Thai transcription of the foreign loanword] film; photographic film for a camera
ฟิล์มขาวดำ ,fimM khaaoR damM,noun,black-and-white film
ฟิล์มถ่ายรูป ,fimM thaaiL ruupF,noun,film; photographic film
ฟิล์มเนกาตีฟ ,fimM naehM gaaM dteefL,noun,negative (film)
ฟิล์มแผ่นดิสก์ ,fimM phaenL ditL,noun,disc film
ฟิล์มม้วนหนึ่ง,fimM muaanH neungL,noun,one roll of film
ฟิล์มสี ,fimM seeR,noun,color film
ฟิล์มเอ็กซ์เรย์ ,fimM ekL raehM,noun,"[Thai transcription of the foreign loanword, ""film x-ray""] an x-ray image; x-ray film"
ฟิลล์มอร์,finM maawM,"proper noun, person",Fillmore
ฟิลลิป,finM lipH,proper noun,Phillip; Philip [an English given name]
ฟิลลิส,finM litH,"proper noun, loanword, English",Phyllis [an English given name]
ฟิลิป,fiH lipH,,[alternate spelling of ฟิลลิป]
ฟิลิปดา,fiH lipH daaM,noun,[polar coordinates] a second; 1/360th of one degree of rotation
ฟิลิปป์,fiH lipH,"proper noun, loanword, English",Philippe [an English given name]
ฟิลิปปา,fiH lipH bpaaM,"proper noun, loanword, English",Philippa [an English given name]
ฟิลิปปินส์ ,fiH lipH bpinM,"proper noun, geographical, adjective",Philippines; Philippino; Philippine
"proper noun, geographical",[ประเทศฟิลิปปินส์] The Philippines,,
ฟิวดัล,fiuM danM,"adjective, loanword, English",[Thai transcription of the foreign loanword] feudal
ฟิวนอยด์,fiuM naawyM,"verb, colloquial, loanword, English",[Thai transcription of foreign phrase] feel annoyed
ฟิวส์,fiuM,"noun, loanword, English",[Thai transcription of the foreign loanword] fuse; electrical fuse
ฟิสิกส์,fiH sikL,"noun, formal, loanword, English",[Thai transcription of the foreign loanword] physics
ฟิสิคส์,fiH sikL,,[alternate spelling of ฟิสิกส์]
ฟิโอน่า,fiH o:hM naaF,"proper noun, loanword, English",Fiona [an English given name]
ฟี้ต,feetH,"noun, plural, loanword, English",[Thai transcription of the foreign loanword] feet
ฟีนิกซ์,feeM nikH,,[alternate spelling of ฟินิกซ์ ]
ฟีบี้,feeM beeF,"proper noun, loanword, English",Phoebe [an English given name]
ฟีลิปปี,feeM lipH bpeeM,proper noun,[book of the New Testament] Philippians
"proper noun, geographical","Philippi, a city in Greece",,
ฟีเลโมน,feeM laehM mo:hnM,proper noun,[book of the New Testament] Philemon
ฟืน ,feuunM,,wood fuel; firewood
ฟืนดุ้นใหญ่กำลังจะกลายเป็นเถ้าถ่านในอีกไม่กี่นาทีข้างหน้า,feuunM doonF yaiL gamM langM jaL glaaiM bpenM thaoF thaanL naiM eekL maiF geeL naaM theeM khaangF naaF,example sentence,"""The big pile of firewood will become ashes in just a few minutes."""
ฟื้น ,feuunH,verb,to recover from injuries; to regain previous status; to revive; to resuscitate
ฟื้นขึ้น,feuunH kheunF,,to resurect; bring back to life
ฟื้นความจำ,feuunH khwaamM jamM,verb,to recall or recollect; to bring to mind
ฟื้นคืนชีพ,feuunH kheuunM cheepF,,to revive; bring back to life
ฟื้นดิน,feuunH dinM,"verb, intransitive",to till a fallow field
ฟื้นตัว,feuunH dtuaaM,verb,to recover (to a former state)
ฟื้นฟู,feuunH fuuM,,to restore; rehabilitate; revive
ฟื้นฟูสภาพ,feuunH fuuM saL phaapF,verb,to revive; recover; rehabilitate
ฟุคุชิมา,fooH khooH chiH maaM,proper noun,Fukushima (city and nuclear plant in Japan)
ฟุ้ง ,foongH,verb,to disseminate; to spread; to reek; to be floating in the air; to be diffused
ฟุ้งเฟ้อ,foongH fuuhrH,adjective,[is] extravagant; fanciful; lavish
ฟุ้งเฟื่อง,foongH feuuangF,"noun, verb, intransitive",widespread; all-pervading; diffuse
ฟุ้งซ่าน,foongH saanF,adjective,[is] scatter-brained; distracted; muddle-brained
ฟุ้งฟ้า,foongH faaH,proper noun,Fungfaa [Thai female given name]
ฟุด,footH,adverb,[ฟุด ๆ] [intensifier] very; extremely
ฟุด ๆ,footH footH,adverb,[ฟุด ๆ] [intensifier] very; extremely
ฟุดฟิด,footH fitH,verb,to sniff
ฟุต,footH,"noun, loanword, English",[Thai transcription of the foreign loanword] foot; feet; 12 inches
ฟุตบอล ,footH baawnM,"noun, loanword, English","[Thai transcription of the foreign loanword, ""football""] soccer"
ฟุตบอลชิงแชมป์แห่งชาติยุโรป,footH baawnM chingM chaaemH haengL chaatF yooH ro:hpL,proper noun,European National Football Championship
ฟุตบอลโลก,footH baawnM lo:hkF,proper noun,Football World Cup
ฟุตซอล,footH saawnM,"noun, loanword, English",[Thai transcription of foreign loanword] futsal
ฟุตซอล,footH saawnM,noun,[Thai transcription of foreign loanword] futsal
ฟุตบาท,footH baatL,"noun, loanword, English",sidewalk; footpath
ฟุตปาธ,footH bpaatL,noun,sidewalk; foot path
ฟุบ,foopH,verb,to drop down; to collapse down; to bury (one's face in one's hands); (to lie) face downwards; to have a breakdown
ฟุ่มเฟือย ,foomF feuuayM,adjective,[is] luxurious; extravagant; lavish
ฟู,fuuM,"verb, intransitive",(of dough) to rise; to be fluffy
ฟู่ ,fuuF,noun,a hissing sound
verb,emiting a hissing sound,,
ฟูก ,fuukF,noun,mattress; cushion; foam
ฟูกนอน ,fuukF naawnM,noun,mattress
ฟูจิ,fuuM jiL,"proper noun, loanword, Japanese",[Thai transcription of the foreign loanword] Fuji
ฟูซิลี,fuuM siH leeM,"noun, loanword, Italian","fusilli, a type of Italian pasta"
ฟู้ด,fuutH,"loanword, English",[Thai transcription of the foreign loanword] food
ฟู้ดเซ็นเตอร์ ,fuutH senM dtuuhrM,noun,"[Thai transcription of the foreign loanword, ""food center""] coupon food center in a mall or department store, where stalls offer a variety of Thai specialties"
ฟู๊ด,fuutH,,[alternate spelling of ฟู้ด]
ฟู่ฟ่า,fuuF faaF,adjective,[is] extravagant; lavish
ฟู่ฟ่าฟุ่มเฟือย,fuuF faaF foomF feuuayM,adjective,[is] extravagant; lavish
ฟูม,fuumM,adjective,[is] soaked; flooded; saturated
ฟูมฟัก,fuumM fakH,verb,to bring up; nurture; take care; raise
ฟูมฟาย,fuumM faaiM,verb,to foam; to froth; to bubble over
adjective,extreme; extravagant,,
ฟูลแบ็ก,fuunM baekL,"noun, loanword, English",[Thai transcription of the foreign loanword] fullback; [American football term]
เฟซบุ๊ก,faehsF bookH,"proper noun, loanword, English",[Thai transcription of the foreign loanword] Facebook
เฟซบุ๊ค,faehsF bookH,,[alternate spelling of เฟซบุ๊ก]
เฟด,faehtF,"noun, proper noun","[Thai transcription of abbreviation] the ""Fed"", United States Federal Reserve"
verb,[Thai transcription of foreign loanword] fade,,
เฟธ,faehtF,"proper noun, loanword, English",Faith [an English given name]
เฟ้น ,fenH,,"to pick and choose, to select or cull"
เฟ้นหา,fenH haaR,"verb, phrase",to pick and choose; select; cull; choose
เฟย์,faehM,"proper noun, loanword, English",Fay; Faye [an English given name]
เฟร็ด ,fretH,proper noun,Fred [an English given name]
เฟรดดี้,fraehtF deeF,"proper noun, loanword, English",Freddy; Freddie [an English given name]
เฟรดเดอริก นูแมน,fraehtF duuhrM rikH nuuM maaenM,proper noun,Frederick Neumann
