ก.แกรู้ไหมอ้ายหมอนั่นสอบตกอีกแล้ว|abbreviation,example sentence
ก.ผมเล่นกีตาร์เปียโนแล้วก็กลองได้|example sentence
ก.ผมเล่นเครื่องดนตรีได้หลายอย่าง|example sentence
[ก.]ผมอยากได้บ้านที่มีห้องนอนสามห้องแล้วก็มีมุ้งลวดทั้งหลังจะเป็นสองชั้นหรือชั้นครึ่งก็ได้|example sentence
ก.พรุ่งนี้ฉันไปดูหนังกับเธอไม่ได้แล้วนะพอดีติดงาน|example sentence
ก.พวกแกจะเอายังไงกันแน่เลือกมาสักที|example sentence
ก.พ่อทราบมั้ยคะว่ามือถือฟุ้งฟ้าอยู่ที่ไหนบ้างฟุ้งฟ้าหาไม่พบเลยค่ะคุณพ่อ|example sentence
ก.พี่ไปเที่ยวทะเลกันไหมไม่ได้ไปตั้งนานแล้วนะ|example sentence
[ก.]เพื่อนคุณเป็นโสดหรือแต่งงานแล้ว|example sentence
ก.มากินข้าวกันเถอะฉันหิวจะตายแล้ว|example sentence
ก.มากินข้าวกันเถอะผมหิวจะตายแล้ว|example sentence
ก.มาถึงสถานีรถไฟฟ้าแล้วหรือยัง|example sentence
ก.มีคนปิดเตาความร้อนเมื่อคืน|example sentence
[ก.]มีครบทุกอย่างค่ะชุดรับแขกชุดทานข้าวเตียงตู้เตาแก๊สตู้เย็นและพัดลมขาดแต่เครื่องปรับอากาศคุณต้องเอามาเองแต่เราติดตั้งให้ฟรี|example sentence
ก.มีเครื่องใช้ไฟฟ้าอะไรเสียหายบ้างหรือเปล่าครับ|example sentence
[ก.]มีโรงรถไหมครับ|example sentence
ก.มีอะไรๆเสียหายบ้างไหม|example sentence
ก.เมื่อคืนเธอได้ไปที่ร้านหรือเปล่าลูกค้าเยอะไหม|example sentence
ก.เมื่อคืนเธอสองคนออกไปไหนกันมา|example sentence
ก.เมื่อวานฉันเห็นแฟนเธอขับรถออกไปเขาไปไหนหรือ|example sentence
[ก.]เมื่อวานนี้ผมไปหาคุณแต่ไม่พบ|example sentence
ก.เมื่อวานนี้ผมให้เด็กเอาจดหมายไปให้คุณได้รับหรือเปล่า|example sentence
ก.เมื่อวานผมทำกระเป๋าตังค์หาย|example sentence
[ก.]ไม่ได้ชวนใครเพราะไม่มีใครอยู่|example sentence
[ก.]ไม่มาป่วย|example sentence
ก.ไม่รู้จริงๆหรือวะ|example sentence
ก.รถไฟไปเชียงใหม่จะออกเวลาเท่าไรครับ|example sentence
ก.เราก็อยากไปดูหนังที่นั่นเหมือนกัน|example sentence
ก.เราคุยกันตอนนี้ได้ไหม|example sentence
ก.เราชวนเอ๋ไปเที่ยวเชียงใหม่กันไหม|example sentence
ก.แล้วลูกหลานเป็นยังไงบ้างครับมีใครเจ็บป่วยจากน้ำท่วมไหม|example sentence
[ก.]และเปลืองน้อยกว่าเพราะไม่ต้องจ้างคนใช้หลายคน|example sentence
ก.วันนี้มีประกาศออกมาด้วยนะว่าจะไม่มีการปลดพนักงานใดๆทั้งสิ้น|example sentence
ก.ว่ากันว่าหากเราทำความดีผลของกรรมดีจะส่งให้เราถึงชาติหน้า|example sentence
[ก.]สะดวกกว่าอยู่บ้าน|example sentence
ก.สำบายดีบ่อเพื่อน|example sentence,colloquial
ก.เสื้อนี่นะหรือจะให้ฉันใส่ไป|example sentence
[ก.]หนึ่งปีค่ะจ่ายเงินล่วงหน้าอย่างน้อยสามเดือนขอโทษคุณจะย้ายมาอยู่เมื่อไรคะ|example sentence
[ก.]ห้าพันไม่แพงหรอกค่ะเพราะมีเครื่องเรือนพร้อม|example sentence
[ก.]อยู่ห่างจากปากซอยราวๆสองกิโลกว่าครับ|example sentence
ก.อยู่ไหนแล้ว|example sentence
[ก.]อะไรก็ได้ครับ|example sentence
ก.อะไรไม่เบื่อ|example sentence
ก.อ้าวพี่วันนี้พาสาวคนใหม่มาเหรอคราวที่แล้วไม่ใช่คนนี้นี่นา|example sentence
ก.อุ้ยขอโทษงานนี้เคลียร์กันเองแล้วกันนะผมไม่เกี่ยว|example sentence
ก.เอ๊อคุณจิตเขาจะมีมั้ยนะ|example sentence
[ก.]เอาสิครับงั้นเรารีบไปกันเถอะเดี๋ยวจะกลับมาไม่ทัน|example sentence
ก็|conjunction,particle,colloquial,idiom,particle,formal,colloquial,particle,formal,colloquial,particle,formal,colloquial,formal,colloquial
ก็เขารู้จักกันอยู่แล้วนี่นา|example sentence
ก็ค่อยยังชั่วหน่อย|example sentence
ก็คือ|conjunction
ก็คือบรรดาประเทศที่ทำหน้าที่เป็นทั้งผู้บริโภคสินค้าจากญี่ปุ่นและในเวลาเดียวกันก็เป็นซัพพลายเออร์ให้กับบริษัทญี่ปุ่นไปด้วยในตัว|example sentence
ก็คือเป็นบริเวณตำแหน่งของมดลูกแมวนะครับแล้วก็จัดการผ่าเลย|example sentence
ก็คือมันจะทำงานของมันไปเรื่อยๆจนเข้าสู่วินโดวส์|example sentence
ก็คุณเองน่ะซี|example sentence
ก็คุยกันเชิงสร้างสรรค์นะครับและได้คุยกันรู้เรื่อง|example sentence
ก็จริงอยู่|adverb
ก็ช่าง|adverb
ก็เชื่อซะ|example sentence
ก็ดี|example sentence
ก็ได้|phrase
ก็ได้|adverb
ก็ได้|adverb
ก็ได้แต่ฝันไปไม่กลายเป็นจริงสักที|example sentence
ก็ได้แต่รอทั้งปีและฉันต้องเหงาอย่างนี้ถึงเมื่อไร|example sentence
ก็ต้องว่ากันไปตามกระบวนการพิจารณาคดีไม่ใช่ว่าจะฟ้องวันนี้แล้วพรุ่งนี้ไปตัดสินคงไม่ได้|example sentence
ก็ตอบได้ว่าเป็นเรื่องของการศึกษาภาษาในระดับที่เป็น"ศาสตร์"หรือ"ภาษาศาสตร์"นั้น|example sentence
ก็ตาม|
ก็ตามใจ|phrase,sarcastic-humorous
ก็ตามที|adverb
ก็เติมปัจจัยนั้นๆเข้าไปให้เหมาะสมกับสภาพพื้นที่โดยเน้นให้ประหยัดต้นทุนใช้ประโยชน์ได้จริงไม่ยุ่งยากเป็นเทคโนโลยีระดับพื้นบ้านคนทั่วไปสามารถประยุกต์ใช้งานได้จริง|example sentence
ก็ทำงานที่เดียวกันแถมบ้านอยู่ใกล้กันอีกก็เลยโชคร้ายไป"ผู้ชายพูดยิ้ม|example sentence
...ก็ทำให้เกิดการเปลี่ยนชุมชนเปลี่ยนเมืองแบบกลับข้างไปเลย|example sentence
ก็เท่ากับไม่เคารพกฎหมายที่ตนเป็นผู้ตราออกมาเอง|example sentence
ก็ในเมื่อจิตรับอารมณ์ได้เพียงอารมณ์เดียวในแต่ละขณะก็เลยทำให้เห็นชัดๆว่าขาดสติไปนานเพียงได|example sentence
ก็ในเมื่อทุกคนอยู่ในอารมณ์ผ่อนคลายพวกเขากำลังเที่ยวอยู่บางคนอาจจะบอกว่าไม่แปลกเลยถ้าเป็นเมืองนอกเพราะในช่วงอากาศดีมันน่าเดินมาก|example sentence
ก็ปรารถนาให้พบกันทุกภพทุกชาติ|example sentence
ก็พอ|phrase
ก็เพราะว่าฉันในช่วงนี้...|example sentence
ก็เพียงเพราะว่าฉันเหงา|example sentence
ก็มันจะถูกกระจกนี่นา|example sentence
ก็มี|verb,phrase
ก็ไม่มีใครชวนดิฉันนี่ค่ะ|example sentence
ก็ไม่มีอะไรที่ผมจะทำได้แล้วล่ะ|example sentence
ก็ยังชั่วเลย|example sentence
ก็ยิ่งดี|adverb,phrase
ก็ลองคิดดูสิครับแต่ละวันเราถูกช่วงชิงความเงียบไปมากแค่ไหน|example sentence
ก็เลย|conjunction,phrase,colloquial
ก็เลยโทรศัพท์กลับไปถามและแล้วพี่ที่อยู่ปลายสายก็บอกว่า"มันยังอยู่|example sentence
ก็เลยนำความสงสัยนี้ไปถามหลวงพี่ที่รู้จักกัน|example sentence
ก็เลยเอามือไปจับก็เลยรู้ว่ามันท้อง|example sentence
ก็แล้วกัน|interjection,phrase
ก็แล้วแต่|example sentence
ก็ว่าจะชวนเธอไปดูหนัง|example sentence
ก็ว่าได้|adverb,phrase
ก.|noun,abbreviation,abbreviation
ก.|
ก.ก.|noun,abbreviation
ก.ก.|
ก.ก.น.|noun,abbreviation
ก.ค.|proper noun,abbreviation
ก.ค.ศ.|noun,abbreviation
ก.ต.ช.|noun,abbreviation
ก.บช.|proper noun,abbreviation
ก.พ.|proper noun,abbreviation,noun,abbreviation
ก.พ.|
ก.พ.ร.|noun,abbreviation
ก.ม.|
ก.ม.ม.|noun,abbreviation
ก.ย.|proper noun,abbreviation
ก.ล.|
ก.ล.ต.|noun
กก|noun,verb
กกกอด|verb,transitive
กกไข่|verb
กกหู|noun
ก๊ก|noun,loanword,Chinese,abbreviation
กกจ.|proper noun,abbreviation
กกต.|proper noun,person,abbreviation
กกต.เผชิญกับกระแสกดดันจากการเมืองจนปริแตกออกเป็นสองฝ่าย|example sentence
กกร.|noun,abbreviation
กกอ.|proper noun,abbreviation
กกุท|noun
กกุท|
กกุธ|
กกุธภัณฑ์|noun
กข.|noun,abbreviation
กขช.|proper noun,abbreviation
กค.|noun,abbreviation
กคช.|noun,abbreviation
กคพ.|noun,abbreviation
กง|noun,classifier
กงเกวียนกำเกวียน|verb,phrase
กงจักร|noun
กงพัด|noun
กงล้อ|noun,phrase,formal
ก่ง|verb
ก๊ง|verb,adjective
ก๊งเหล้า|verb
ก๋ง|noun,loanword,Chinese
ก่งก๊ง|adjective,loanword,Chinese
กงการ|noun
กงโก้กงกก|adverb
กงฉาก|noun
กงเต็ก|noun,loanword,Chinese
กงศุลฯ|
กงสี|noun,colloquial,loanword,Chinese
กงสุล|noun,loanword,English
กงสุลกิตติมศักดิ์|noun
กงสุลฯ|
กจ.|proper noun,abbreviation
กฎ|noun,classifier
กฎกติกา|noun
กฎเกณฑ์|noun
กฎข้อบังคับ|noun,phrase
กฎจราจร|noun
กฎธรรมชาติ|noun
กฎบัตร|noun
กฎบัตรกฎหมาย|noun,phrase,colloquial
กฎบัตรสหประชาชาติ|proper noun
กฎบัตรอาเซียน|proper noun
กฎมนเทียรบาล|noun
กฎมนุษย์ที่สร้างขึ้นมานั้นจะต้องสอดคล้องสัมพันธ์และกลมกลืนกับกฎธรรมชาติ|example sentence
กฎระเบียบ|noun
กฎแรงโน้มถ่วง|noun
กฎหมาย|noun,formal
กฎหมายการบริหารราชการในสถานการณ์ฉุกเฉิน|noun,phrase
กฎหมายใช้งานได้ดีกับชนชั้นล่าง,แต่ใช้กับอภิสิทธิ์ชนได้ยากมาก|example sentence
กฎหมายที่ดีเลิศปานใดแต่หากไม่มีผู้ใดเคารพและกระทำตามก็ไร้ประโยชน์|example sentence
กฎหมายไทยก้าวล่วงไปมากกว่าแต่เดิม|example sentence
กฎหมายปิดปาก|noun
กฎหมายแพ่ง|noun
กฎหมายย้อนเบื้องหลัง|
กฎหมายระหว่างประเทศ|noun
กฎหมายระหว่างประเทศจารีตประเพณี|noun
กฎหมายรัฐธรรมนูญเป็นแม่บทซึ่งมีกฎหมายอื่นรวมอยู่ด้วย|example sentence
กฎหมายโรมัน|noun
กฎหมายลิขสิทธิ์เพิ่งมาเกิดขึ้นครั้งแรกในอังกฤษเพื่อรับมือกับการขยายตัวของการพิมพ์อันเป็นสิ่งที่เพิ่งเกิดขึ้นไม่นาน|example sentence
กฎหมายห้ามจำหน่ายเครื่องดื่มแอลกอฮอล์ในวันพระใหญ่ทั้งหลาย|example sentence
กฎหมายห้ามผู้ที่อยู่ในภาวะล้มละลายทำธุรกรรมใดๆทั้งสิ้น|example sentence
กฎหมายอาญา|noun
กฎหมู่|noun,phrase
กฎแห่งกรรม|noun
กฎนิคหกรรม|noun
กฎนิคหกรรมเป็นวิธีกรรมลงโทษภิกษุตามพระธรรมวินัยเพื่อให้เข็ดหลาบ|example sentence
กฎอัยการศึก|noun,formal
กฐิน|proper noun,event
กณิกนันต์|adjective
กด|verb,noun,transitive
กดกระดิ่ง|verb
กดขี่|verb
กดขี่ขูดรีด|verb
กดขี่ขูดรีดแรงงาน|
กดเข้าไปปุ๊บมันจะเป็นไมโครซอฟต์ต่างๆโผล่ขึ้นมานะครับผมให้เราเลือกที่ไมโครซอฟต์เวิร์ดนะครับผม|example sentence
กดเงิน|verb,colloquial
กดจุด|verb
กดชักโครก|verb
กดแชร์|verb
กดดัน|verb
กดโทรไปที่...|phrase
กดน้ำ|verb
กดปุ๊บมันจะขึ้นบรรทัดใหม่ให้เรานะครับ|example sentence
กดปุ่ม|verb,intransitive,phrase,colloquial
กดปุ่มคอนโทรลพร้อมกับปุ่มซีเพื่อคัดลอกประโยคที่ต้องการไปเก็บไว้ที่คลิปบอร์ด|example sentence
กดราคา|verb,phrase
กดไลก์|verb
กดไลค์|verb
กดหัว|verb,transitive
กดออด|verb,colloquial
กดเอาไว้|verb
กต.|noun,abbreviation
กตเวทิตา|noun
กตเวที|noun
กตัญญุ|
กตัญญุตา|noun
กตัญญู|adjective,noun
กตัญญูกตเวที|noun
กตัญญูรู้คุณ|adjective
กตัญญูรู้คุณ|noun
กตัญญูกตเวทิตา|noun
กติกา|noun,loanword,Pali
กติกาการแข่ง|noun
กติกาการแข่งขัน|noun
กติกาการเล่นวอลเล่ย์บอล|noun
กถา|noun,poetic
กถามุข|noun
กถึก|noun
กทม.|proper noun,geographical,abbreviation
กทม.เคารพต่อกฎหมายกฎเกณฑ์ที่ตนเองเป็นผู้รักษาหรือไม่|example sentence
กน|noun
ก่น|verb,transitive,adjective,verb
ก่นโคตร|verb,phrase
ก่นด่า|verb
ก่นสร้าง|verb,transitive
ก้น|noun
ก้นกรอง|adjective
ก้นกรอง|noun
ก้นกระดก|verb
ก้นกุฏิ|adjective,idiom
ก้นขวด|noun,adjective,adverb,phrase
ก้นตะกรน|noun
ก้นตะกรน|adjective
ก้นถุง|noun
ก้นทะเล|noun
ก้นบาตร|noun,phrase
ก้นบึ้ง|noun
ก้นบึ้งของหัวใจ|phrase,poetic
ก้นบุหรี่|noun
ก้นปอด|noun
ก้นปอดยอดขุนพล|example sentence,colloquial
ก้นย้อย|noun
ก้นร้อน|adjective
ก้นหนัก|phrase,idiom
ก้นหนัก|
ก้นห้อง|noun,archaic
ก้นห้อง|noun,idiom
ก้นหอย|noun,figurative
กนก|loanword,Pali,noun,adjective
กนกนคร|noun
ก้นกบ|noun
กนกพร|proper noun
กนกภรณ์|
กนกากร|noun,Sanskrit
ก้นครัว|idiom
กนร.|noun,proper noun,abbreviation
กนิษฐ์|
กนิษฐ|
กนิษฐ|
กนิษฐภคินี|noun
กนิษฐา|noun,formal,poetic,loanword,Sanskrit,poetic,formal,poetic,loanword,Sanskrit
กบ|noun
กบจำศีล|noun
กบดาน|verb,idiom
กบดำกบแดง|noun
กบไต๋|verb,phrase
กบไสไม้|noun
กบเหลาดินสอ|noun
กบอยู่ในกะลา|noun,phrase
กบ.|proper noun,abbreviation
กบง.|proper noun,abbreviation
กบฎ|noun
กบฏ|verb,formal,noun
กบอ.|noun,abbreviation
กบาล|noun,colloquial
กบาลเมือง|noun
กบิลพัสดุ์|proper noun,geographical
กเบรียล|proper noun,loanword,English
กปช.|noun,abbreviation
กปปส.|proper noun,abbreviation
กปส.|proper noun,abbreviation
กพ.|proper noun,abbreviation
กพช.|noun,proper noun,abbreviation
กฟน.|proper noun,abbreviation
กฟผ.|proper noun,abbreviation
กฟภ.|noun,proper noun,abbreviation
กม|noun
ก้ม|verb
ก้มกราน|verb,transitive
ก้มตัว|verb
ก้มต่ำ|verb
ก้มลง|verb
ก้มหน้า|verb
ก้มหน้าก้มตา|verb,intransitive,phrase,idiom
ก้มหน้าก้มตาอ่าน|verb
ก้มหัว|verb
กม.|noun,abbreviation,abbreviation
กมธ.|noun,abbreviation
กมธ.|proper noun,abbreviation
กมล|noun,formal,poetic,loanword,Pali,proper noun,person,formal,colloquial
กมลา|
กยศ.|proper noun,abbreviation
กร|noun,particle,poetic,poetic,formal
กรกฎ|noun,proper noun,formal,loanword,Pali
กรกฎาคม|noun
กรง|noun,classifier
กรงขัง|noun
กรงทอง|noun
กรงเล็บ|noun
กรณ์|noun,particle,loanword,Pali,plural,formal,loanword,Pali
กรณี|noun,Pali
กรณีจำเป็น|noun
กรณีฉุกเฉิน|noun
กรณีตัวอย่าง|noun
กรณีที่กสช.ล้มกระดานกระบวนการสรรหานั้นเป็นการเสียผลประโยชน์ต่อประชาชนอย่างมาก|example sentence
กรณีพิพาท|noun
กรณีศึกษา|noun
กรณีเหล่านี้จะลงเอยอย่างไรก็ตามปรากฏการณ์ครั้งนี้ต้องชื่นชมสำนักงานอัยการสูงสุด|example sentence
กรณีย์|noun
กรณียกิจ|noun,formal
กรด|noun,adjective
กรดกัดแก้ว|noun
กรดกำมะถัน|noun
กรดเกลือ|noun
กรดไขมัน|noun
กรดไขมันไม่อิ่มตัว|noun
กรดไขมันอิ่มตัว|noun
กรดซัลฟิวริก|noun
กรดที่บรรจุหน่วยพันธุกรรม|noun
กรดน้ำส้ม|noun
กรดบอริก|noun
กรดฟอร์มิก|noun
กรดโฟลิค|noun
กรดแลคติค|noun
กรดไหลย้อน|verb
กรดอะเซติก|noun
กรดอะมิโน|noun
กรดไฮโดรคลอริก|noun
กรดไฮโดรไซยานิก|noun
กรธ.|proper noun,abbreviation
กรน|verb,intransitive,noun
กรบูร|
กรม|noun,verb,formal
กรม|
กรมการขนส่งทางบก|noun,phrase
กรมการขนส่งทางอากาศ|noun,phrase
กรมการข้าว|proper noun
กรมการค้าต่างประเทศ|noun,proper noun
กรมการค้าภายใน|proper noun
กรมการเงินกลาโหม|noun
กรมการจัดหางาน|proper noun
กรมการบินพาณิชย์|proper noun
กรมการปกครอง|proper noun,phrase
กรมการพลังงานทหาร|noun
กรมการพัฒนาชุมชน|noun
กรมการรักษาดินแดน|proper noun
กรมการอุตสาหกรรมทหาร|noun
กรมควบคุมโรค|proper noun
กรมควบคุมและป้องกันโรค|noun,proper noun
กรมคุ้มครองสิทธิและเสรีภาพ|proper noun
กรมเจรจาการค้าระหว่างประเทศ|noun,proper noun
กรมเจ้าท่า|noun
กรมชลประทาน|noun,proper noun
กรมตำรวจไม่ได้นิ่งนอนใจในคดีหลังจากพบหลักฐานสำคัญที่เป็นประโยชน์ต่อคดี|example sentence
กรมทรัพย์สินทางปัญญา|proper noun
กรมทหารราบรักษาพระองค์|noun,proper noun,formal
กรมท่า|noun
กรมทางหลวง|noun,proper noun
กรมที่ดิน|noun
กรมธนารักษ์|noun,phrase
กรมธนารักษ์|proper noun
กรมนายทหารพระธรรมนูญ|
กรมนาวิกโยธิน|noun,proper noun,person
กรมบัญชีกลาง|noun,proper noun
กรมประชาสงเคราะห์|noun,proper noun
กรมประชาสัมพันธ์|proper noun
กรมปศุสัตว์|proper noun
กรมป้องกันและบรรเทาสาธารณภัย|proper noun
กรมป้องกันสาธารณะภัยต้องระดมอาสาสมัครรักษาพระนครอย่างเต็มที่จะวางใจตำรวจแต่เพียงฝ่ายเดียวเห็นจะยังไม่ได้|example sentence
กรมพระธรรมนูญ|noun
กรมพัฒนาธุรกิจการค้า|noun
กรมพัฒนาสังคมและสวัสดิการ|proper noun
กรมยุทธศึกษาทหารบก|noun,phrase
กรมโยธาธิการ|proper noun
กรมโยธาธิการและผังเมือง|proper noun
กรมราชองค์รักษ์|noun
กรมราชทัณฑ์|noun,proper noun
กรมศิลปากร|noun,pronoun
กรมศุลกากร|noun
กรมส่งเสริมการปกครองท้องถิ่น|proper noun
กรมส่งเสริมวัฒนธรรม|proper noun
กรมสนธิสัญญาและกฎหมาย|proper noun
กรมสรรพากร|noun,proper noun
กรมสรรพากรไม่ได้นิ่งนอนใจมีการการตั้งคณะกรรมการขึ้นมาดูแลและตรวจสอบทางวินัยกับเจ้าหน้าที่กรมทั้ง๕คนแล้วว่าจะมีใครเป็นผู้รับผิดชอบบ้างและรับผิดชอบอย่างไร|example sentence
กรมสวัสดิการและคุ้มครองแรงงาน|proper noun
กรมสอบสวนคดีพิเศษ|noun
กรมสารนิเทศ|noun,proper noun
กรมเสมียนตรา|noun,proper noun
กรมอุตุนิยมวิทยา|proper noun
กรมอุตุนิยมวิทยายังยืนยันการคาดการณ์ว่าปีนี้ปริมาณฝนจะอยู่ในเกณฑ์ปกติค่อนไปทางฝนน้อยและอาจเกิดสภาวะฝนทิ้งช่วงก่อให้เกิดการขาดแคลนน้ำด้านการเกษตรในบางพื้นที่|example sentence
กรมอุทยานแห่งชาติสัตว์ป่าและพันธุ์พืช|noun,proper noun,phrase
กรมธรรม์|noun
กรมธรรม์ประกันภัย|noun
กรมหลวง|noun
กรมอุตุฯ|proper noun
กรรไกร|noun
กรรไกรตัดกิ่งไม้|noun
กรรไกรตัดเล็บ|noun
กรรชิง|noun
กรรเชียง|verb,noun,idiom
กรรเชียงหมายถึงอาการที่นั่งหันหน้านั่งหันหน้าไปทางท้ายเรือแล้วใช้มือเหนี่ยวกรรเชียงพุ้ยน้ำให้เรือแล่นไป|example sentence
